scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags,income_limit,age_limit,category_req,state_req
Savitribai Phule Kishori Samriddhi Yojana,spksy,"The Savitribai Phule Kishori Samriddhi Yojana was initiated by the Department of Women, Child Development, and Social Security, Government of Jharkhand. The objective of the Savitribai Phule Kishori Samriddhi Yojana is to address negative perceptions about the birth of daughters in society, issues like female foeticide, child marriage, low female child sex ratio, and the weak educational status of girls. The scheme has been approved across the entire state of Jharkhand to address these issues. The objectives of this scheme are as follows: ﻿ Objectives of the Savitribai Phule Kishori Samriddhi Yojana: (a) Women's empowerment (b) Emphasis on girls’ education (c) Eradication of the child marriage practice (d) Support for the educational expenses of girls in higher classes to reduce school dropout rates and encourage them towards higher education. (e) Assistance for adolescent girls' health and personal hygiene. (f) Enable adolescent girls to make independent decisions regarding their lives.","Under this scheme, girls/adolescent girls will be provided with the following financial assistance: ﻿ S. No. Beneficiary Category Amount of Financial Assistance 1 Girls enrolled in Class 8 ₹2,500/- 2 Girls enrolled in Class 9 ₹2,500/- 3 Girls enrolled in Class 10 ₹5,000/- 4 Girls enrolled in Class 11 ₹5,000/- 5 Girls enrolled in Class 12 ₹5,000/- 6 One-time grant for girls aged 18-19 ₹20,000/- ﻿","1. The beneficiary will apply for the benefits under the scheme, and the beneficiary will be required to have the following eligibility till the date of application: This assistance shall be payable to the first two daughters of the mother. A self-declaration to this effect will be submitted by the mother of the beneficiary, which will be required to be attached to the application. 2. Under this scheme, all eligible girls studying from class 12 in the Government/Scheduled Tribes, Scheduled Castes, Minority and Backward Classes Welfare Department, Jharkhand supported/run by Women Child Development and Social Security Department, Jharkhand/run under National Child Labour Project (NCLP)/managed by Jharkhand Government/aided by the schools will be covered. 3. The beneficiaries of the scheme will be those girl children whose Mother/father is not permanently employed in or retired from the Central Government/State Government/Central Public Sector Undertakings/State Public Sector Undertakings and is not in receipt of pension/family pension from these employers. Mother/father will not be an income taxpayer. The mother of the applicant will submit a self-declaration form to this effect, which will be necessary to attach to the application. 4. The beneficiary should be between 18 and 19 years of age at the time of application for the last installment.",A beneficiary can avail of a child development facility in his area directly or through an Anganwadi worker. ﻿,Aadhaar Card. Residence Proof. Antyodaya Card. Certificate of Inclusion under SECC-2011. School Enrollment Certificate. Income Certificate. Passport-sized Photograph. Bank Account Details.,State,"Education & Learning, Social welfare & Empowerment, Health & Wellness",,"Samriddhi, Kishori, Girl, Student, Expenses",,,"Scheduled Caste, Scheduled Tribe",
Scheme For Adolescent Girls,sag,"A support scheme by Ministry of Women & Child Development enabling self-development and empowerment of out-of-school adolescent girls, and improving their nutritional, health & hygiene  status. ﻿ The scheme aims at supporting out of school AGs to successfully transition back to formal schooling or bridge learning / skill training. Upgrade their home-based skills and life skills. Provide information/guidance about existing public services such as Primary Health Centers, Rural Hospitals/CHCs, Post Office, Bank, Police Station, etc. ﻿ Scheme for Adolescent Girls - SAG is implemented using the platform of Anganwadi Services of Umbrella ICDS Scheme through Anganwadi Centers (AWCs).","Nutrition Component: Take Home Ration or Hot Cooked Meal for out of school girls - Nutrition Provision ₹ 9.50 per day (600 calories; 18‐20 gram of protein and recommended daily intake of micronutrients per day for 300 days in a year.). The financial norms will be ₹ 9.5/- per beneficiary per day for 300 days in a year. This would be inclusive of the cost of micronutrient fortification. ﻿ Non Nutrition Component: IFA supplementation. Health check‐up and Referral services. Nutrition & Health Education (NHE). Counseling / Guidance on family welfare, ARSH, child care practices. Life Skill Education and accessing public services.",The applicant must be a FEMALE . The age of the applicant must be between 11 and 14 years .,"The out-of-school adolescent girls (11 - 14 years age) are identified by the State / UT through a Base Line Survey, a one-time activity carried out by the Anganwadi Workers (AWW) who should go from house to house to meet every family in the area covered by her AWC, and gather information about the details of such girls. Such girls are provided the benefits through the Anganwadi Centre (AWC).",Aadhaar Proof of Age / DOB ﻿,Central,"Health & Wellness, Social welfare & Empowerment, Women and Child",,"Female, Health, Medicine, Free Meal, Nutrition, Youth, Empowerment",,,,
Scheme to Provide Relief in Case of Death or Disability of Registered Building Workers,sprcddrbw,"The ""Scheme to Provide Relief in Case of Death or Disability of Registered Building Workers"" is a Welfare Scheme by the Andhra Pradesh Building & Other Construction Workers LET&F (Labour) Department. In cases of accidental death, permanent disability, or natural death, the scheme provides financial assistance to help mitigate the financial burden on the worker's family. This scheme aims to protect construction workers and their families during times of crisis.","Accidental Death: ₹5,00,000/- Permanent Disability: ₹5,00,000/- Natural Death Relief: ₹60,000/-",Eligibility for Accidental Death/Natural Death Relief The applicant should be the nominee/dependent of the deceased construction worker. The deceased construction worker should be registered with the Andhra Pradesh Building and Other Construction Workers Welfare Board. ﻿ Eligibility for Permanent Disability The construction worker should be registered under the Andhra Pradesh Building and Other Construction Workers Welfare Board. The construction worker should be disabled.,"Step-1: The interested applicant should visit (during office hours) the A.P. Building & Other Construction Workers Welfare Board and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Assistant Labour Officer/Assistant Commissioner of Labour. Step-4: Request a receipt or acknowledgement from the Assistant Labour Officer/Assistant Commissioner of Labour to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Aadhaar Card of the worker and nominee. Accident Report. Medical Certificate indicating permanent disability. Death Certificate for natural or accidental death. Bank Account Details. Registration Card under the BOCW Act. Any Other Documents if required..,State,"Social welfare & Empowerment, Health & Wellness",,"Financial Assistance, Accident, Differently-abled Person, Death, Construction Worker",,,,Andhra Pradesh
Silicosis (Bimari) Se Pidit Shramiko Ke Liye Aarthik Evam Punarvas Sahayata Yojana,sspsl,"Labor Department of Chhattisgarh State started this scheme ""Silicosis (Bimari) Se Pidit Shramiko Ke Liye Aarthik Evam Punarvas Sahayata Yojana"" for unorganized worker on 16 April 2018. The main objective of the scheme to provide the financial assistance to the person who are suffering from Silicosis disease.","Unorganized workers with silicosis will get ₹ 300,000. If the worker dies, their family will get ₹100,000 and the rest will be paid as a fixed deposit with monthly interest.","Workers registered with the Chhattisgarh Unorganized Workers State Social Security Board. Workers who claim to be working in the organized sector but cannot prove it, or construction workers who are not eligible for registration with the Chhattisgarh Building and Other Construction Workers Welfare Board, will also get the benefits. Competent doctors must confirm the Silicosis disease  to the worker.","Visit the office of the Assistant Labor Commissioner/Labor Officer of the district. Submit the application and the required documents. The officer will review the application and send it to the divisional office for further action. Applicant can be submitted by mother, father, wife, husband, minor son, or minor daughter. The application should include the following information: Name and address of the deceased worker Name and address of the dependent Occupation of the deceased worker Date of death of the deceased worker Medical report confirming that the deceased worker had silicosis",Labor registration Card. Resident prove. Name and address of the deceased worker Name and address of the dependent Occupation of the deceased worker Date of death of the deceased worker Medical report confirming that the deceased worker had silicosis ﻿,State,Health & Wellness,,"Financial Assistance, Silicosis Disease, Unorganized Worker",,,,
Silicosis Pidit Hita-dhikariyon Hetu Sahayata Yojana,sphhsy,"""Silicosis Pidit Hita-dhikariyon Hetu Sahayata Yojana"" has been started for the laborers working in stone mines in Rajasthan. An assistance scheme has been started for the beneficiaries suffering from silicosis. In which financial assistance will be provided to laborers and workers in case of silicosis or death. Applicants can apply for the assistance scheme to silicosis victims through both online and offline modes. ﻿","In case of suffering from silicosis : ₹1,00,000/- In case of death of a victim of silicosis : ₹3,00,000/-","Those construction workers who are registered with the Board as beneficiaries and are depositing contributions The beneficiary is suffering from silicosis as certified by the Pneumoconiosis Medical Board constituted under the Rajasthan Workmen's Compensation (Occupational Diseases) Rules, 1965. The beneficiary cannot receive silicosis assistance amount from the Rajasthan Environment and Health Care Fund (Rehab). ﻿ Note - A person suffering from silicosis will be eligible to get assistance only under any one of the schemes of Rajasthan Environment and Health Cess Fund or the Board.","Registration Step-1: Applicant have to visit the official portal . Step-2: Click on the option “ Register ”. Step-3: Then you will be redirected to the SSO registration page. The registration page will appear with the following options. Citizen Step-4: Choose the either one option from  the Jan Aadhaar Or Google to process further. Jan Aadhaar : Enter the Jan Aadhaar number, click on the ‘Next’ button, Select your name, the name of the head of the family and all the other members and Click on the ‘Send OTP’ button. Enter the ‘OTP’ and Click on the ‘Verify OTP’ button to Complete the registration. Google : Enter the Gmail ID, click on the ‘Next’ button, Enter the password. A new link appear on screen, now click on new SSO link. SSO id will appear on screen, now create the password. Enter Mobile number, click on registration.  Apply Step-1: Applicant have to visit the official portal . Step-2: After login, dashboard will open. Step-3: Click on “LDMS” option. Step-4: In LDMS, select ""Welfare Schemes"" from the side menu and select BOCW Welfare Board. Step-5: Now click on ""Apply for Scheme"" on screen. Step-6: In this new page, will get a list of names of all the schemes of Rajasthan Shramik Card, out of which click on the name of "" Yojana"" Step-7: Fill out the all relevant detail. Step-8: Submit. ﻿ Periodd for submission of application: Application for financial assistance can be made for a period of 6 months from the date of issuance ofther  certificate by the Pneumoconiosis Medical Board and in case of death, for 6 months from the date of death. In special circumstances, the time limit can be relaxed by the Divisional Secretary after a satisfactory and appropriate reason for the delay is explained. ﻿ ﻿",Copy of beneficiary identity card/booklet. Certificate regarding silicosis from Pneumoconiosis Medical Board. Bank account details. ﻿,State,Health & Wellness,,"Labour, Financial Assistance, Silicosis Victim, Health",,,,
Sishu Saathi,wbsishusathi,"﻿ The 'Sishu Saathi' scheme is a healthcare initiative launched by the Health and Family Welfare Department, Government of West Bengal, that aims to provide free treatment to children needing heart surgeries. Partnering with both government and private hospitals, the scheme ensures that children up to the age of 12, diagnosed with heart conditions, receive free surgery and related care.","Health Screening in Schools: Free health check-ups in government schools to detect heart ailments at an early stage among children. Free Cardiac Surgeries: Completely free cardiac surgeries for children up to 12 years of age who are diagnosed with heart ailments, ensuring no financial burden on families.",All children from 0 to 18 years are eligible. Applicable to children residing in both rural and urban areas of West Bengal. There is no income criterion; the scheme is open to all children regardless of their family's financial capacity. The child must be diagnosed with a cardiac ailment requiring surgical intervention.,Step 1: Children diagnosed through Rashtriya Bal Swasthya Karyakram or other health check-ups are referred for further treatment. Step 2: Parents or guardians can contact government hospitals or partner private hospitals for free surgery under the scheme. Step 3: Hospitals handle the registration and approval process for eligible children.,"Child’s birth certificate or age proof (below 18 years). Medical records or diagnostic reports showing the heart ailment. Identity proof of parents or guardians (Aadhaar card, Voter ID, etc.). Any other documents as required.",State,"Health & Wellness, Social welfare & Empowerment",,"Sishu Saathi, Social Welfare, Financial Assistance, Child Health",,,,
Sneha Sparsha,ss-a,"Launched on 30th December 2021, the ""Sneha Sparsha"" is a healthcare scheme by the Dept. of Health & Family Welfare, Govt. of Assam. In this scheme, financial assistance shall be provided for specialized treatment of children below 12 years of age affected with some serious ailments. Families with annual income less than ₹ 2,50,000 shall be eligible for availing benefits under the scheme, while priority shall be given to Below Poverty Line (BPL) families.","Permitted procedure and the maximum amount admissible: ﻿ Bone Marrow Transplant: Leukemia (Blood Cancer) and other conditions like Thalassemia, in which Bone Marrow Transplant may be considered as a mode of treatment, financial assistance up to ₹ 10,00,000 per case for referral of such cases to 'leading Hospitals outside the state equipped with facilities for such treatment. ﻿ Cochlear Implant: The scheme will offer financial assistance of up to ₹ 5,35,000 per case to BPL beneficiaries and ₹ 3,00,000 per case to APL beneficiaries for referral of such cases to a Hospital outside the state, if necessary. ﻿ Liver Transplant: The scheme will offer financial assistance of up to ₹ 16,00,000 per case to BPL beneficiaries and ₹ 10,00,000 per case to APL beneficiaries. Necessary arrangements shall be made for referral of such cases to leading Hospitals outside the state with state-of-the-art facilities for such treatment. ﻿ Kidney Transplant: The scheme will offer financial assistance of up to ₹ 3,00,000 per case to BPL beneficiaries and ₹ 2,00,000 per case to APL beneficiaries for referral of such cases to Hospitals outside the state, if necessary.  Artificial Limb: The scheme will offer financial assistance of up to ₹ 1,00,000 for Cosmetic Limbs and up to ₹ 2,50,000 if a Motorized Artificial Limb is considered necessary. ﻿ Blood Cancer: For treatment of Blood Cancer in children with Chemotherapy, financial assistance of up to ₹ 1,00,000 per case will be given. ﻿ Specialized Eye Surgery: like Retinal Surgery or Posterior Segment Procedures, an amount of ₹ 15,000 will be given as assistance. ﻿ Tumors: Solid tumors needing costly investigations and treatment with Chemotherapy and Radiotherapy will be given financial assistance of up to ₹ 25,000. Children in need of cancer-related surgery will be given financial assistance of up to ₹ 50,000. ﻿ Neurological Anomalies: Hydrocephalus and Spina Bifida will be given assistance up to ₹ 50,000 for investigation, surgical treatment, and rehabilitation. ﻿ Thalassemia: Financial assistance of ₹ 1,00,000 will be provided to children suffering from Thalassemia, who are not fit for Bone Marrow Transplant but require specialized treatment like splenectomy, blood transfusion, and associated medicines. ﻿ NOTE 1: The rates notified are indicative and the actual admissible amount shall be fixed through a transparent process. NOTE 2: Out of these, the first five points shall be considered for referral outside the State, and the rest of the procedures (6 to 10) treatment is available in the Medical College Hospitals and other Hospitals inside the state.","The beneficiary should be a child below 12 years of age. The beneficiary should be a resident of the state of Assam. The beneficiary should be affected by some serious ailment(s). The annual income of the family of the beneficiary should be less than ₹ 5,00,000, while priority shall be given to Below Poverty Line (BPL) families.","The applications from the parents of the children in need of financial assistance under this scheme shall be submitted to the Office of the Mission Director and/or to the Sneha Sparsha Committee, Sneha Sparsha C/o Gauhati Medical College. The applicants shall have to appear before the Sneha Sparsha Committee along with the patient on an appointed date to be notified by the Member Secretary, and submit all necessary documents for verification. The final selection shall be done by Sneha Sparsha Committee on the basis of the documents received.","Aaadhaar Card Birth Certificate of the Patient. Residential Proof  / Domicile Certificate of Assam Income Certificate (issued by a competent authority such as the Deputy Commissioner, Sub-Divisional Circle Officer, circle officer, Block Development officer, or any other authority notified by Govt.) Photograph of the Patient (Attested by Doctor) OPD Advice Slip / Discharge Summary / Prescription",State,Health & Wellness,,"Disease, Child, Financial Assistance",,,,
Special Health Scheme for Primitive Tribes,shspt,"The ""Special Health Scheme for Primitive Tribes"" scheme by the Welfare Department, Government of Jharkhand, aims to improve healthcare access and outcomes for primitive tribal communities. Through this scheme, financial assistance of ₹38,41,632 is allocated for health-related services and programs to ensure better medical support and infrastructure for the targeted groups.","Focused healthcare services for primitive tribal communities. Distribution of funds to districts such as Dumka, Sahebganj, Pakur, and Godda. Utilization for better medical facilities, treatments, and preventive care programs. Priority to regions with high tribal populations and pressing health needs.","The applicant should belong to a primitive tribal community. The applicant should reside in districts covered under the scheme, including Dumka, Sahebganj, Pakur, and Godda.","Step 01: Visit the district welfare office in your region and obtain the application form for the Special Health Scheme for Primitive Tribes. Step 02: Fill in the required details, including personal, income, and community information. Step 03: Attach the necessary documents. Step 04: Submit the completed form to the welfare officer and keep the acknowledgment receipt for future reference.",Proof of Identity (Aadhaar Card/Voter ID/Driving License) Proof of Residence (Ration Card/Utility Bill) Community Certificate Medical Reports Any Other Document If Required,State,Health & Wellness,,"Medical, Financial Assistance, Primitive Tribal, Healthcare",,,,
Specialized Treatment & Medical Assistance Scheme (PBAOCWWB),stmas-pbaocwwb,"The ""Specialized Treatment & Medical Assistance Scheme"" is a Welfare Scheme by the Puducherry Building and Other Construction Workers Welfare Board, Labour Department, Union Territory of Puducherry. The Board provides for upto ₹2,00,000/- for taking specialized medical treatment in Hospitals having tie-up with Government General Hospitals. The amount for the medical treatment is credited through Direct Benefit Transfer (DBT) into the bank account of the registered construction worker. The applications are accepted offline.","Financial Assistance of upto ₹2,00,000/- for taking specialized medical treatment in Hospitals having tie-ups with Government General Hospitals.","The applicant should be a citizen of India. The applicant should be registered as a Construction Worker with the Puducherry Building and Other Construction Workers Welfare Board. The applicant should have completed the age of 18 years. The applicant should not have completed the age of 60 years during the preceding 12 months in the construction work. The beneficiary should be contributing to the Board's Fund. The applicant should not have defaulted in payment of contribution to the Board for a continuous period of more than one year. The applicant should have either met an accident or should be suffering from a disease such as Tuberculosis, Lung Issues, Neurological Disorders, etc.","Step 1: The interested construction worker should visit the Office of the Puducherry Building and Other Construction Workers Welfare Board (Industrial Estate, Thattanchavady, Puducherry - 605 009) and obtain the prescribed format of the application form free of cost from the concerned authority exclusively entrusted to issue and collect filled-in applications. OR The interested construction worker should take print of the prescribed format of the application form provided in the section ""Application for Welfare Benefits"" on Page No. 83 of the Citizen's Charter. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: The interested construction worker should submit the duly filled and signed application form and the documents to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application form has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Last Subscription Bill. Board ID Card. Aadhaar Card. Ration Card. Accident Report (if applicable). Bank Pass Book. Referral Letter, obtained from the Health Department, Government of Puducherry. Medical Certificate issued by the competent authority (RMO).",State,Health & Wellness,,"Medical, Hospital, Accident, Disease, Construction, Worker",,,,
Sruthitharangam ( Cochlear Implantation Scheme ),scis,"The Government of Kerala launched the “Sruthitharangam (Cochlear Implantation Scheme)” under Kerala Social Security Mission by the Social Justice Department, Kerala. This scheme envisioned providing free cochlear implantation surgery for children in the age group of 0-5 years, who are hearing impaired. The early identification and intervention procedures initiated within six months of age should be the golden standard for the holistic development of a child with hearing loss. Cochlear Implant is a proven option for the treatment of profound hearing loss. The child from poor families whose annual family income is below ₹2 lakhs are eligible to get the benefit of this scheme. This scheme is implemented through Government as well as selected empaneled private hospitals in this field. The objective of this scheme is to provide a cochlear implant to children selected by Regional and State level technical committees for cochlear implantation and to provide financial support for Auditory Verbal Habilitation (AVH) to operate children through empaneled hospitals/centers. Hospitals Covered Under the Scheme: Govt. Medical College Hospital, Trivandrum. Govt. Medical College Hospital, Kozhikode. Govt. Medical College Hospital, Kottayam. KIMS Hospital, Trivandrum. Medical Trust Hospital, Kochi. Dr. Noushad’s ENT Institute and Research Centre, Ernakulam. West Fort Hi-Tech Hospital, Thrissur. Dr. Manoj’s ENT Super Speciality Institute & Research Centre, Kozhikode. MIMS Hospital, Kozhikode. ASCENT ENT Hospital, Perinthalmanna","Under the scheme, children who are hearing impaired will be provided free cochlear implantation surgery. Note: The children will be selected by Regional and State level technical committees for cochlear implantation.",1.	The applicant should be a resident of Kerala State. 2.	The child who is hearing impaired is eligible under the scheme. 3.	The child should be in the age group of 0-3 years. 4.	The annual family income of the applicant should be below ₹2 Lakhs. Note: The Screening Committee would be empowered to make exceptions beyond 3 years and up to 5 years of age on a case-to-case basis; where the committee feels that a high possibility of success exists or if there are other compelling technical reasons warranting or making an exception.,"To avail of the benefits of the scheme, the application form is duly filled and the necessary documents are to be submitted directly to Executive Director, Kerala Social Security Mission. Address for Communication: Executive Director, Kerala Social Security Mission, Poojappura, Thiruvananthapuram, Kerala-695012 Phone No – 0471 2341200",1.	Proof of Identity 2.	Proof of age of the child 3.	Income certificate 4.	Copy of BPL card (if applicable) 5.	Copy of Ration card (if applicable) 6.	Residence certificate 7.	Passport-size photograph 8.	Child’s medical reports,State,Health & Wellness,,"Cochlear, Surgery, Children, Hearing Impaired, Sruthitharangam",,,,Kerala
Su-Swastha Yojana,su-swastha-yojana,"Launched in April 2021, the scheme ""Su-Swastha Yojna"" by the Department of Health & Family Welfare, Government of Sikkim aims to provide comprehensive and affordable healthcare coverage to the employees of the Government of Sikkim and their families. Through this scheme, cashless hospitalization at top-tier hospitals across India is provided to the eligible beneficiaries. The scheme covers regular employees in service of the Government of Sikkim and dependent family members up to a maximum of 5 dependents in a scheme that provides 10 lacs of cover to the family per year.","Cashless Convenience: Cashless admission and discharge across network hospitals eliminate the burden of arranging funds during hospitalization. Access to Top-Tier Healthcare: Beneficiaries gain access to best-in-class healthcare by leveraging a network of top-tier hospitals and institutes across India. Quality Assurance: The Su-Swastha Facilitation Center ensures quality of care by overseeing medical services provided to beneficiaries. Transparent Billing: Standardized tariffs with hospitals based on infrastructure and quality of care promote transparency in billing. Patient-Centric Approach: Communication with patients and their families is maintained throughout the care journey. Wide Network Coverage: Beneficiaries can avail of the scheme's benefits at over 400+ empanelled hospitals within the Su-Swastha Yojna network. Comprehensive Coverage: Base Cover - 10 lacs base cover. Critical Care Coverage - 10 lacs additional critical care coverage for the entire family, regardless of the number of dependents. In-Patient Treatment: Covers hospitalization expenses exceeding 24 hours. Road Ambulance Assistance: Covers road ambulance expenses up to ₹3500 per hospitalization, with a maximum of 3 claims per year. Pre-existing Disease Coverage: Covers all pre-existing diseases from the first day of enrollment. Post-Hospitalization Care: Covers medical expenses incurred within 30 days of hospital discharge. Specialized Coverage: Includes coverage for special conditions, treatments, implants, vehicular accidents, and trauma. Maternity Benefits: Covers delivery expenses up to ₹50,000, including newborn baby cover. Dental and Ophthalmic Care: Covers daycare dental and ophthalmic treatments, including implants. Organ Donor Expenses: Covers expenses incurred for organ transplantation from a donor to a Su-Swastha beneficiary, subject to claim eligibility criteria.",The applicant should be a regular employee in service of the Government of Sikkim or the dependent family members of such employee (spouse; brother and/or sister; children (own or legally adopted); parents of self or spouse) (up to a maximum of 5 dependents).,"Step 1: Visit the Official Website of "" Su-Swastha Sikkim "" and click "" Enrol Now "". Step 2: Login to the website using your registered Mobile Number. Verify your Mobile Number via OTP. You will be taken to the online enrolment form. Step 3: There are two parts of the application. First, the employee must fill and submit part 1 of the form which is to enrol himself/herself in the scheme. Then he/she should fill and submit part 2 of the form. Fill in all the mandatory fields and if required, upload all the mandatory documents in the specified format and size. Step 4: Agree to the self-declaration and submit the application, you will receive confirmation message on your phone (SMS) as well as an email confirmation. Please note that the application will go to your respective nodal officers for approval. Once submitted successfully, the application is evaluated and processed. Once approved, your application you will receive a link to download your member e-card on SMS and email. This card is required for availing any benefits of Su-Swastha later. In case of any query or assistance please reach us at info@suswasthasikkim.com or call us at 9800347944","Passport Size Photo One of the following ID Proofs that shows the identity of the employee and the dependents: Voter’s Card, Aaadhaar Card, Driver’s license, Passport, or Any other government ID One of the following Proofs of the Relationship between employee and dependent: Aadhaar Card, Voter’s ID, PAN Card, Passport, Driver’s License, Hospital Discharge Card (attested by a gazette government official for newborn babies), Birth Certificate, Immunization Certificate, School Certificate (attested by school authority and gazette government official), Marriage Certificate, Affidavit (attested by gazette government official in lieu of no government issue proof)",State,Health & Wellness,,"Insurance, Medical, Premium, Health, Hospital, Family",,,,
Surakshit Matritva Aashwasan Yojana,suman,"SUMAN Yojana or Surakshit Matritva Aashwasan Yojana is a maternity benefit initiative launched by the Ministry of Union Health and Family Welfare. This program provides affordable and quality healthcare solutions to pregnant women and newborns. Under this scheme, pregnant women, sick newborns, and mothers receive zero expense access up to six months after delivery. They receive treatment from quality hospitals and professionals. The PMSMA programme allows four antenatal check-ups during the 1st trimester and check-ups under Pradhan Mantri Surakshit Matritva Abhiyan. ﻿ Objectives of the SUMAN scheme- This scheme offers zero expenses and access to detection and management of complications during and after pregnancy. Pregnant women can avail a zero-expense delivery and C-section facility at public health facilities. SUMAN scheme ensures zero-tolerance for denial of services to children and pregnant women. Pregnant women also receive free transport from home to the health facility and drop back after discharge. This initiative facilitates respectful care with privacy and support for breastfeeding. Facilities such as services for sick newborns and neonates and vaccination are offered for zero cost.","The scheme allows zero expense delivery and C-section facilities at public health facilities. Beneficiaries will get four antenatal check-ups, one check-up during the 1st trimester, and one check-up under Pradhan Mantri Surakshit Matritva Abhiyan. The scheme also covers Tetanus-Diphtheria injection iron-folic acid supplementation, six home-based newborn care visits and components of the ANC package. Pregnant women will get free transport from home to the health facility and will get dropped back after discharge. Counseling and IEC/BCC facilities for safe motherhood Pregnant women will receive hassle-free access to all medical facilities.","All pregnant women and newborns are eligible to avail of the benefits under the PM SUMAN Yojana. Following are the general requirements - Pregnant women from all categories, including APL and BPL, are eligible to get the benefits Newborns aged 0 to 6 months old will be able to avail the benefits of this scheme After delivery, lactating mothers up to 6 months from delivery are also eligible for this scheme.","Individuals have to visit civil hospitals in their respective areas to register themselves for the PM SUMAN Yojana. Ideally, they have to fulfill the eligibility criteria and submit the mentioned documents to register for the scheme. The civil hospitals of all the districts abide by the rules mandated by the Health Ministry. However, if there are some discrepancies, individuals can log in to the SUMAN website and file a complaint. Individuals have to submit certain documents to prove their verification.","Identity proof, comprising Aadhaar card, PAN card, driving license, voter ID card, etc. Women's pregnancy details from a concerned hospital Address proof, such as valid passport, Aadhaar card, utility bill, property tax bill, telephone bill, etc. Now let's understand the benefits offered by this scheme.",Central,"Health & Wellness, Women and Child",,"Pregnant, Health",,,,
Thalolam Scheme,ts-kerala,"The Government of Kerala launched the “Thalolam Scheme” on 1st January 2010 under Kerala Social Security Mission by the Social Justice Department, Kerala. The aim of the scheme is to provide free treatment to the children below age of 18, who are suffering from Kidney diseases, Cardiovascular diseases, Cerebral Palsy, Brittle Bone Disease, Hemophilia, Thalassemia, Sickle Cell Anemia, Orthopedic deformities, and other Neuro-Developmental Disabilities, Congenital anomalies (Endosulfan victims) and accident cases which needs surgery. Hospitals receiving free treatment: Govt. Medical College Hospital, Trivandrum Govt. Medical College Hospital, Thrissur Govt. Medical College Hospital, Alappuzha S. A. T Hospital, Trivandrum Govt. Medical College Hospital, Kottayam IM C. H, Kozhikode Govt. Medical College, Kozhikode I.C.H.M.C. Kottayam Co-operative Medical College, Kannur Regional Cancer Center, Thiruvananthapuram District Hospital, Aluva, Ernakulam Sree Chithira Thirunal Hospital, Thiruvananthapuram","A patient will be eligible for initial assistance of ₹50,000/- only under this scheme. Under the scheme, free treatment will be provided to the children below age of 18, who are suffering from Kidney diseases, Cardiovascular diseases, Cerebral Palsy, Brittle Bone Disease, Hemophilia, Thalassemia, Sickle Cell Anemia, Orthopedic deformities and other Neuro-Developmental Disabilities, Congenital anomalies (Endosulfan victims) and accident cases which needs surgery. Note: Additional financial assistance can be met based on the decision of the Superintendent, Head of the concerned Department of Specialty, and Head of the Radiotherapy Department.","The applicant should be a resident of Kerala State and the scheme is applicable only to patients from Kerala. The patient should be below 18 years of age. The scheme is applicable to patients belonging to families too poor to afford treatment of the Below Poverty Line (BPL) category. Under this scheme, assistance will be provided to the patient for diseases other than cancer which are lethal or fatal.","To avail of the benefits of the scheme the applicant may contact the following authorities: Scheme counselor of the Safety Mission assigned to the respective hospitals, contacts hospitals covered under this scheme. Concerned District Social Justice Officer, Kerala Note: No special application is required. Based on the economic and social analysis done by the Counselors of the Safety Mission assigned to the respective hospitals, the benefit of the scheme will be applicable to the children of families who are unable to bear the cost of treatment.",1.	Copy of Aadhaar/ Proof of Identity of patient 2.	Proof of age of the patient 3. Income certificate 4.	Copy of BPL card (if applicable) 5.	Copy of Ration card (if applicable) 6.	Residence certificate 7.	Passport-size photograph 8.	Patient’s medical reports,State,Health & Wellness,,"Free Treatment, Patient, Diseases, Children, Hospital, BPL",,,,Kerala
